session,symbol,weight,posts,title_posts,cashtag_posts,attention,score_sum,comment_sum,tone_w,tone_aw,stance_w,stance_aw,stance_evidence,bull_posts,bear_posts,rockets,diamonds,bear_emoji,session_posts,tone,tone_att,stance,stance_att,bull_share,bear_share,title_share,cashtag_share,rocket_rate,diamond_rate,bear_emoji_rate,score_per_post,comments_per_post,mentions,log_mentions,mention_share,log_attention,board_mentions,share_of_board,attention_rank,tone_vs_board,mention_z,mention_accel,mention_vs_base,share_accel,tone_delta,stance_delta,mentions_5d,log_mentions_5d,active_days_20,is_fresh,dow
2021-01-28,AMC,19.899999999999995,39.0,21.0,5.0,216.55433317506092,115.83715417522185,100.7171789998391,5.740499444444445,56.733921913305466,5.69404761904762,56.315318027844945,95.05,9.116666666666667,2.7,16.666666666666664,5.499999999999999,0.5,258,0.2884673087660526,0.26198469955086134,0.28613304618329755,0.26005167941996365,0.4581239530988276,0.13567839195979903,0.5384615384615384,0.1282051282051282,0.8375209380234506,0.2763819095477387,0.025125628140703522,5.8209625213679335,5.061164773861263,19.899999999999995,3.039749158970765,0.07713178294573642,5.38244862703342,140.99999999999997,0.14113475177304963,0.96875,0.1298467698585538,0.0,3.039749158970765,0.0,0.14113475177304963,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,BB,5.783333333333333,15.0,5.0,3.0,62.23663303666748,34.872848974003865,27.36378406266362,1.1947583333333334,12.319192673249837,3.403571428571429,35.27791134260109,27.85,3.916666666666667,0.2,10.333333333333334,0.8333333333333333,0.0,258,0.20658645533141212,0.1979411814580624,0.5885137916838206,0.5668351519243766,0.6772334293948128,0.0345821325648415,0.3333333333333333,0.2,1.7867435158501441,0.1440922190201729,0.0,6.029887430663493,4.731490039653652,5.783333333333333,1.9144686232204944,0.022416020671834624,4.146883769884503,140.99999999999997,0.041016548463356985,0.90625,0.047965916423913346,0.0,1.9144686232204944,0.0,0.041016548463356985,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,GME,91.64166666666667,121.0,57.0,22.0,988.8889541697025,552.3255994734492,436.56335469625344,24.222558055555545,264.2501433727163,23.56911490878046,256.7697591219457,789.4000000000001,41.95,17.15833333333333,316.66666666666663,13.666666666666666,4.625,258,0.26431817465369334,0.26721922846694934,0.2571877593028694,0.2596547954542949,0.45776120760207334,0.1872328816950077,0.47107438016528924,0.18181818181818182,3.455487860325543,0.14913158134036555,0.050468309538965174,6.027013907139574,4.7638085444712575,91.64166666666667,4.528739004451569,0.3552002583979328,6.897592769332039,140.99999999999997,0.6499408983451538,1.0,0.10569763574619456,0.0,4.528739004451569,0.0,0.6499408983451538,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,GOLD,3.0,3.0,0.0,0.0,48.0583307672848,21.57378754201466,26.484543225270144,0.996,15.955365814738556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,0.332,0.3320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.191262514004887,8.828181075090049,3.0,1.3862943611198906,0.011627906976744186,3.893010013940146,140.99999999999997,0.021276595744680854,0.875,0.17337946109250124,0.0,1.3862943611198906,0.0,0.021276595744680854,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,NOK,6.016666666666667,16.0,11.0,4.0,60.12144332783242,33.71018322377454,26.411260104057874,2.6667733333333334,25.9423354297476,3.088724319159102,30.799045682681786,49.733333333333334,3.7833333333333337,0.2,10.333333333333334,0.5833333333333333,0.0,258,0.44323102493074795,0.4314988794977572,0.5133613826857233,0.5122805438109597,0.6288088642659281,0.0332409972299169,0.6875,0.25,1.7174515235457064,0.09695290858725761,0.0,5.602800535807403,4.389683119788012,6.016666666666667,1.9482882714602807,0.023320413436692507,4.112862759236387,140.99999999999997,0.04267139479905438,0.9375,0.2846104860232492,0.0,1.9482882714602807,0.0,0.04267139479905438,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,PLTR,2.25,4.0,3.0,1.0,17.273706874137307,8.885112931101515,8.388593943035792,1.8028,13.414504652025204,1.6161242603550297,11.865342011947588,174.0,2.0,0.0,166.0,0.5,0.0,258,0.8012444444444444,0.776585173626501,0.7182774490466799,0.6869018965299637,0.8888888888888888,0.0,0.75,0.25,73.77777777777777,0.2222222222222222,0.0,3.9489390804895623,3.7282639746825743,2.25,1.1786549963416462,0.00872093023255814,2.905463243851154,140.99999999999997,0.01595744680851064,0.84375,0.6426239055369456,0.0,1.1786549963416462,0.0,0.01595744680851064,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-28,SPY,2.208333333333333,5.0,2.0,0.0,19.781313962821514,10.823599171008585,8.957714791812927,-0.26062916666666675,-5.919679446280027,0.75,1.5799504838286458,15.833333333333332,1.25,0.625,0.0,0.0,0.125,258,-0.11802075471698119,-0.29925612916340727,0.339622641509434,0.07987085624332758,0.5660377358490567,0.28301886792452835,0.4,0.0,0.0,0.0,0.05660377358490567,4.9012524547963405,4.0563236793115145,2.208333333333333,1.1657515915057381,0.008559431524547802,3.034054215761599,140.99999999999997,0.01566193853427896,0.8125,-0.27664129362448,0.0,1.1657515915057381,0.0,0.01566193853427896,0.0,0.0,0.0,0.0,0.0,1,3
2021-01-29,AAL,77.92500000000001,100.0,81.0,11.0,101.59714680150506,55.302954020276744,46.29419278122831,12.811550000000002,7.703625823493041,28.549999999999997,44.48592822451319,110.40833333333335,35.11666666666667,5.0,39.375,0.125,0.0,16561,0.16440872633942893,0.075825218187908,0.3663779274943855,0.43786592069782587,0.45064698962677785,0.06416426050689765,0.81,0.11,0.505293551491819,0.0016041065126724413,0.0,0.7096946297116039,0.5940865291142547,77.92500000000001,4.368498034444055,0.004705331803635047,4.630810123397801,7061.00000000001,0.011035972241892069,0.9705882352941176,-0.11043323141699402,0.0,4.1861764776501005,0.0,0.009617532525580012,0.0,0.0,0.2,0.18232155679395465,1.0,0,4
2021-01-29,AAPL,4.583333333333333,7.0,2.0,1.0,12.796835125767942,5.5970926261741525,7.199742499593786,1.0428027777777777,2.372742879071069,2.0,2.4849066497880004,62.5,2.0,0.0,57.0,0.0,0.0,16561,0.22752060606060606,0.18541638270335065,0.4363636363636364,0.1941813444782411,0.4363636363636364,0.0,0.2857142857142857,0.14285714285714285,12.436363636363637,0.0,0.0,1.2211838457107242,1.5708529090022807,4.583333333333333,1.7197859696029656,0.0002767546243181772,2.624439227148547,7061.00000000001,0.0006491054147193494,0.8186274509803921,-0.04732135169581689,0.0,1.7197859696029656,0.0,0.0006491054147193494,0.0,0.0,0.0,0.0,0.0,1,4
2021-01-29,AG,21.569047619047616,34.0,21.0,16.0,41.90368916595347,24.346894112006446,17.556795053947017,4.168213888888888,14.23839505841106,11.473801568801566,21.694525175433053,42.95238095238095,13.235714285714286,1.0,3.642857142857143,0.2,0.0,16561,0.19324978842403503,0.33978858047609994,0.5319568008496146,0.5177235133048796,0.6136438900540899,0.046362733193509226,0.6176470588235294,0.47058823529411764,0.16889281377635504,0.009272546638701844,0.0,1.1287885558055755,0.8139810048192679,21.569047619047616,3.1165793931756274,0.0013024000736095414,3.7589578167810225,7061.00000000001,0.0030546732217883567,0.9411764705882353,-0.08159216933238791,0.0,2.8934358418614177,0.0,0.0012816235763982854,0.0,0.0,0.25,0.22314355131420976,1.0,0,4
